Year,Population,Male,Male_Age(0-10),Male_Age(10-20),Male_Age(20-30),Male_Age(30-40),Male_Age(40-50),Male_Age(50-60),Male_Age(60-70),Male_Age(70-80),Male_Age(80+),Female,Female_Age(0-10),Female_Age(10-20),Female_Age(20-30),Female_Age(30-40),Female_Age(40-50),Female_Age(50-60),Female_Age(60-70),Female_Age(70-80),Female_Age(80+),Birth Coef,Number of Bitrh(Boys),Number of Bitrh(Girls),Total number of Birth,Death Coef,Number of Death(Male),Number of Death(Female),Death Coef(Male),Death Coef(Female),Total Number of Death,Death Coef(Child),Death Coef(Boys),Death Coef(Girls),Number of Arrivals,Number of Deaprtures,Migration Difference,Total Migration Difference
2000,1 130 439,,,,,,,,,,,,,,,,,,,,,"13,19",7618,7282,14900,"10,80",6 548,5 635,"12,80","9,10",12 183,"13,35","14,36","12,30",2 675,10 747,-8 072,-4 397
2001,1 128 759,,,,,,,,,,,,,,,,,,,,,"12,19",7063,6719,13782,"10,50",6 251,5 664,"12,20","9,20",11 915,"14,88","16,78","12,89",4 836,10 492,-5 656,1 798
2002,1 132 424,,,,,,,,,,,,,,,,,,,,,"14,10",8235,7858,16093,"10,40",6 204,5 694,"12,00","9,10",11 898,"16,83","20,14","13,36",4 824,7 937,-3 113,13 022
2003,1 149 641,,,,,,,,,,,,,,,,,,,,,"16,87",10215,9392,19607,"11,10",6 866,5 973,"13,00","9,40",12 839,"15,09","18,29","11,62",5 496,5 637,-141,18 799
2004,1 175 208,,,,,,,,,,,,,,,,,,,,,"19,83",12276,11371,23647,"11,00",7 262,5 794,"13,40","8,90",13 056,"12,86","15,50","10,02",5 023,4 621,402,23 686
2005,1 209 485,,,,,,,,,,,,,,,,,,,,,"20,95",13216,12521,25737,"11,00",7 500,6 035,"13,50","9,00",13 535,"14,30","15,48","13,08",5 308,3 743,1 565,26 209
2006,1 247 896,,,,,,,,,,,,,,,,,,,,,"22,18",14687,13432,28119,"9,60",6 559,5 640,"11,40","8,20",12 199,"11,76","13,41","9,96",4 437,2 981,1 456,23 430
2007,1 287 246,,,,,,,,,,,,,,,,,,,,,"22,68",15403,14222,29625,"9,20",6 308,5 740,"10,60","8,10",12 048,"13,29","15,18","11,23",3 464,3 036,428,19 916
2008,1 324 739,,,,,,,,,,,,,,,,,,,,,"25,31",17605,16436,34041,"9,10",6 385,5 841,"10,40","8,00",12 226,"19,21","20,67","17,65",2 843,2 125,718,18 551
2009,1 361 877,625 644,89334,102450,141017,100169,82217,57734,29312,17835,5576,736 233,83851,104740,156642,115054,99505,79790,46466,34324,15861,"18,48",13152,12281,25433,"8,10",5 721,5 427,"9,06","7,29",11 148,"16,31","17,27","15,29",2 886,2 795,91,14 448
2010,1 390 610,637 764,95161,94449,147895,103029,83191,59499,30048,18649,5843,752 846,89294,95769,167742,118354,100265,81734,47578,35773,16337,"18,21",13246,12289,25535,"8,44",6 109,5 717,"9,51","7,53",11 826,"17,08","19,87","14,08",2 894,2 524,370,8 833
2011,1 413 152,646 872,100442,87203,151700,105493,83461,62063,31005,19295,6210,766 280,94069,87775,175009,121411,100897,84124,49270,36979,16746,"17,60",13149,12046,25195,"8,00",5 912,5 534,"9,04","7,12",11 446,"17,05","18,55","15,42",3 167,3 046,121,22 465
2012,1 449 366,660 748,105964,84186,156334,107974,83869,64377,32069,19725,6250,788 618,99168,87115,184102,124467,101437,86520,51280,38016,16513,"18,36",13864,12974,26838,"7,68",5 789,5 441,"8,69","6,84",11 230,"12,60","13,70","11,43",2 789,2 935,-146,9 875
2013,1 474 849,671 973,112335,79484,158616,110798,84664,66304,33834,19541,6397,802 876,104984,80555,189604,127605,102151,89071,54331,37841,16734,"18,32",14050,13261,27311,"7,26",5 551,5 268,"8,17","6,49",10 819,"10,50","12,34","8,54",1 848,2 039,-191,15 558
2014,1 506 899,686 681,118202,79391,159218,114085,85692,68438,36213,19080,6362,820 218,110736,110736,192096,131747,103451,91284,58627,37281,16369,"19,15",15398,14274,29672,"7,13",5 626,5 423,"7,96","6,43",11 049,"8,27","9,18","7,28",1 816,2 413,-597,21 992
2015,1 641 444,750 417,131808,87043,167420,126831,93654,75528,41772,19553,6808,891 027,123489,85799,201798,146370,112271,99081,67057,38103,17059,"18,63",16204,14955,31159,"6,33",5 421,5 158,"7,09","5,68",10Â 579,"8,99","9,68","8,25",1 707,2 880,-1 173,40 742
2016,1 702 766,778 823,139723,90801,170195,132967,96233,77778,44595,19305,7226,923 943,130518,89394,205407,154451,115670,101425,71673,37641,17764,"18,36",16343,15361,31704,"6,25",5 436,5 358,"6,88","5,72",10 794,"7,58","8,70","6,39",1 783,3 719,-1 936,27 632
2017,1 751 308,800 421,145438,92740,169009,140315,99247,79437,46799,19528,7908,950 887,136123,89627,206351,163696,119627,103091,75041,38361,18970,"17,69",16366,15057,31423,"6,15",5 439,5 496,"6,70","5,69",10 935,"6,93","7,40","6,42",1 731,3 535,-1 804,30 197
2018,1 801 993,822 587,151868,96433,164319,149947,101774,80743,48671,20143,8689,979 406,142159,91886,203385,176183,123340,104533,77814,39384,20722,"18,19",17142,16117,33259,"6,39",5 662,6 016,"6,78","6,06",11 678,"8,36","9,34","7,32",1 449,3 545,-2 096,31 082
2019,1 854 656,847 273,157886,103336,156473,160891,105243,82079,50981,20972,9412,1 007 383,147263,97380,194115,191524,127407,105910,80917,40527,22340,"18,19",17635,16673,34308,"6,49",6 181,6 059,"7,16","5,93",12 240,"8,05","9,40","6,62",1 403,3 622,-2 219,40 098
2020,1 916 822,879 675,165081,112180,149022,174232,109507,83836,53673,22033,10111,1 037 147,152913,104770,182267,207546,131737,107814,83925,42394,23781,"18,25",18505,17021,35526,"7,42",7 399,7 041,"8,28","6,68",14 440,"7,64","8,53","6,66",1 690,2 650,-960,39 350
2021,1 977 258,907 051,171780,120405,140367,184891,114218,85027,56762,22898,10703,1 070 207,159040,112533,171140,223669,137051,109681,87535,44687,24871,"18,97",19574,18348,37922,"9,12",8 877,9 343,"9,68","8,62",18 220,"10,48","11,16","9,70",1 882,3 234,-1 352,27 901
2022,2 101 485,976 659,203564,157549,140597,168248,118383,88327,63577,26063,10351,1 124 826,192928,149273,158462,191243,142489,114846,98580,49712,27293,"16,94",18657,17453,36110,"5,73",6 178,6 043,"6,24","5,29",12 221,"5,03","5,69","4,31",3 286,2 060,1 226,36 528
2023,2 161 902,1 003 940,204568,161132,145597,174076,123158,90234,66246,28436,10493,1 157 962,193403,152115,164682,198938,147880,117197,102215,53971,27561,"16,16",18283,17205,35488,"5,43",6 033,5 890,"5,92","5,01",11 923,"5,99","6,54","5,39",6 409,1 312,5 097,43 210
2024,2 228 677,1 035 807,207611,165215,151519,179054,128774,93137,68981,31083,10433,1 192 870,196404,155862,170088,204383,153544,120455,105632,59391,27111,,,,,,,,,,,,,,,,,