Year,Population,Male,Male_Age(0-10),Male_Age(10-20),Male_Age(20-30),Male_Age(30-40),Male_Age(40-50),Male_Age(50-60),Male_Age(60-70),Male_Age(70-80),Male_Age(80+),Female,Female_Age(0-10),Female_Age(10-20),Female_Age(20-30),Female_Age(30-40),Female_Age(40-50),Female_Age(50-60),Female_Age(60-70),Female_Age(70-80),Female_Age(80+),Birth Coef,Number of Bitrh(Boys),Number of Bitrh(Girls),Total number of Birth,Death Coef,Number of Death(Male),Number of Death(Female),Death Coef(Male),Death Coef(Female),Total Number of Death,Death Coef(Child),Death Coef(Boys),Death Coef(Girls),Number of Arrivals,Number of Deaprtures,Migration Difference,Total Migration Difference
2009,1361877,625644,89334.0,102450.0,141017.0,100169.0,82217.0,57734.0,29312.0,17835.0,5576.0,736233,83851.0,104740.0,156642.0,115054.0,99505.0,79790.0,46466.0,34324.0,15861.0,18.48,13152.0,12281.0,25433.0,8.1,5721.0,5427.0,9.06,7.29,11148.0,16.31,17.27,15.29,2886.0,2795.0,91.0,14448.0
2010,1390610,637764,95161.0,94449.0,147895.0,103029.0,83191.0,59499.0,30048.0,18649.0,5843.0,752846,89294.0,95769.0,167742.0,118354.0,100265.0,81734.0,47578.0,35773.0,16337.0,18.21,13246.0,12289.0,25535.0,8.44,6109.0,5717.0,9.51,7.53,11826.0,17.08,19.87,14.08,2894.0,2524.0,370.0,8833.0
2011,1413152,646872,100442.0,87203.0,151700.0,105493.0,83461.0,62063.0,31005.0,19295.0,6210.0,766280,94069.0,87775.0,175009.0,121411.0,100897.0,84124.0,49270.0,36979.0,16746.0,17.6,13149.0,12046.0,25195.0,8.0,5912.0,5534.0,9.04,7.12,11446.0,17.05,18.55,15.42,3167.0,3046.0,121.0,22465.0
2012,1449366,660748,105964.0,84186.0,156334.0,107974.0,83869.0,64377.0,32069.0,19725.0,6250.0,788618,99168.0,87115.0,184102.0,124467.0,101437.0,86520.0,51280.0,38016.0,16513.0,18.36,13864.0,12974.0,26838.0,7.68,5789.0,5441.0,8.69,6.84,11230.0,12.6,13.7,11.43,2789.0,2935.0,-146.0,9875.0
2013,1474849,671973,112335.0,79484.0,158616.0,110798.0,84664.0,66304.0,33834.0,19541.0,6397.0,802876,104984.0,80555.0,189604.0,127605.0,102151.0,89071.0,54331.0,37841.0,16734.0,18.32,14050.0,13261.0,27311.0,7.26,5551.0,5268.0,8.17,6.49,10819.0,10.5,12.34,8.54,1848.0,2039.0,-191.0,15558.0
2014,1506899,686681,118202.0,79391.0,159218.0,114085.0,85692.0,68438.0,36213.0,19080.0,6362.0,820218,110736.0,110736.0,192096.0,131747.0,103451.0,91284.0,58627.0,37281.0,16369.0,19.15,15398.0,14274.0,29672.0,7.13,5626.0,5423.0,7.96,6.43,11049.0,8.27,9.18,7.28,1816.0,2413.0,-597.0,21992.0
2015,1641444,750417,131808.0,87043.0,167420.0,126831.0,93654.0,75528.0,41772.0,19553.0,6808.0,891027,123489.0,85799.0,201798.0,146370.0,112271.0,99081.0,67057.0,38103.0,17059.0,18.63,16204.0,14955.0,31159.0,6.33,5421.0,5158.0,7.09,5.68,10579.0,8.99,9.68,8.25,1707.0,2880.0,-1173.0,40742.0
2016,1702766,778823,139723.0,90801.0,170195.0,132967.0,96233.0,77778.0,44595.0,19305.0,7226.0,923943,130518.0,89394.0,205407.0,154451.0,115670.0,101425.0,71673.0,37641.0,17764.0,18.36,16343.0,15361.0,31704.0,6.25,5436.0,5358.0,6.88,5.72,10794.0,7.58,8.7,6.39,1783.0,3719.0,-1936.0,27632.0
2017,1751308,800421,145438.0,92740.0,169009.0,140315.0,99247.0,79437.0,46799.0,19528.0,7908.0,950887,136123.0,89627.0,206351.0,163696.0,119627.0,103091.0,75041.0,38361.0,18970.0,17.69,16366.0,15057.0,31423.0,6.15,5439.0,5496.0,6.7,5.69,10935.0,6.93,7.4,6.42,1731.0,3535.0,-1804.0,30197.0
2018,1801993,822587,151868.0,96433.0,164319.0,149947.0,101774.0,80743.0,48671.0,20143.0,8689.0,979406,142159.0,91886.0,203385.0,176183.0,123340.0,104533.0,77814.0,39384.0,20722.0,18.19,17142.0,16117.0,33259.0,6.39,5662.0,6016.0,6.78,6.06,11678.0,8.36,9.34,7.32,1449.0,3545.0,-2096.0,31082.0
2019,1854656,847273,157886.0,103336.0,156473.0,160891.0,105243.0,82079.0,50981.0,20972.0,9412.0,1007383,147263.0,97380.0,194115.0,191524.0,127407.0,105910.0,80917.0,40527.0,22340.0,18.19,17635.0,16673.0,34308.0,6.49,6181.0,6059.0,7.16,5.93,12240.0,8.05,9.4,6.62,1403.0,3622.0,-2219.0,40098.0
2020,1916822,879675,165081.0,112180.0,149022.0,174232.0,109507.0,83836.0,53673.0,22033.0,10111.0,1037147,152913.0,104770.0,182267.0,207546.0,131737.0,107814.0,83925.0,42394.0,23781.0,18.25,18505.0,17021.0,35526.0,7.42,7399.0,7041.0,8.28,6.68,14440.0,7.64,8.53,6.66,1690.0,2650.0,-960.0,39350.0
2021,1977258,907051,171780.0,120405.0,140367.0,184891.0,114218.0,85027.0,56762.0,22898.0,10703.0,1070207,159040.0,112533.0,171140.0,223669.0,137051.0,109681.0,87535.0,44687.0,24871.0,18.97,19574.0,18348.0,37922.0,9.12,8877.0,9343.0,9.68,8.62,18220.0,10.48,11.16,9.7,1882.0,3234.0,-1352.0,27901.0
2022,2101485,976659,203564.0,157549.0,140597.0,168248.0,118383.0,88327.0,63577.0,26063.0,10351.0,1124826,192928.0,149273.0,158462.0,191243.0,142489.0,114846.0,98580.0,49712.0,27293.0,16.94,18657.0,17453.0,36110.0,5.73,6178.0,6043.0,6.24,5.29,12221.0,5.03,5.69,4.31,3286.0,2060.0,1226.0,36528.0
2023,2161902,1003940,204568.0,161132.0,145597.0,174076.0,123158.0,90234.0,66246.0,28436.0,10493.0,1157962,193403.0,152115.0,164682.0,198938.0,147880.0,117197.0,102215.0,53971.0,27561.0,16.16,18283.0,17205.0,35488.0,5.43,6033.0,5890.0,5.92,5.01,11923.0,5.99,6.54,5.39,6409.0,1312.0,5097.0,43210.0
